
"Date","Price","Open","High","Low","Change %"
"Mar 29, 2017","1,163.23","1,157.67","1,166.85","1,152.74","0.49%"
"Mar 28, 2017","1,157.52","1,154.08","1,159.88","1,152.24","0.26%"
"Mar 27, 2017","1,154.49","1,152.61","1,160.24","1,146.87","0.21%"
"Mar 24, 2017","1,152.12","1,154.76","1,158.56","1,150.18","-0.24%"
"Mar 23, 2017","1,154.88","1,157.10","1,162.24","1,152.72","-0.17%"
"Mar 22, 2017","1,156.88","1,151.49","1,158.32","1,150.74","0.46%"
"Mar 21, 2017","1,151.61","1,148.76","1,154.85","1,138.06","0.23%"
"Mar 20, 2017","1,148.99","1,144.78","1,151.32","1,144.25","0.37%"
"Mar 17, 2017","1,144.77","1,139.50","1,147.43","1,137.12","0.46%"
"Mar 16, 2017","1,139.49","1,136.01","1,151.29","1,134.34","0.27%"
"Mar 15, 2017","1,136.41","1,130.82","1,141.12","1,126.39","0.50%"
"Mar 14, 2017","1,130.78","1,130.66","1,136.24","1,127.91","0.02%"
"Mar 13, 2017","1,130.50","1,128.96","1,134.53","1,126.74","0.16%"
"Mar 10, 2017","1,128.69","1,135.08","1,136.73","1,123.12","-0.59%"
"Mar 09, 2017","1,135.39","1,146.21","1,147.30","1,133.90","-0.93%"
"Mar 08, 2017","1,146.09","1,151.11","1,153.89","1,142.98","-0.40%"
"Mar 07, 2017","1,150.69","1,158.06","1,160.46","1,148.58","-0.65%"
"Mar 06, 2017","1,158.22","1,163.04","1,166.07","1,157.46","-0.32%"
"Mar 03, 2017","1,161.91","1,174.95","1,177.03","1,159.17","-1.11%"
"Mar 02, 2017","1,174.98","1,184.76","1,185.31","1,171.58","-0.82%"
"Mar 01, 2017","1,184.64","1,180.22","1,185.70","1,175.32","0.37%"
"Feb 28, 2017","1,180.28","1,183.66","1,187.03","1,176.74","-0.26%"
"Feb 27, 2017","1,183.38","1,189.67","1,191.10","1,180.95","-0.55%"
"Feb 24, 2017","1,189.95","1,180.69","1,192.35","1,179.16","0.79%"
"Feb 23, 2017","1,180.59","1,171.99","1,183.63","1,169.84","0.71%"
"Feb 22, 2017","1,172.32","1,172.80","1,180.20","1,166.44","-0.05%"
"Feb 21, 2017","1,172.90","1,166.41","1,175.12","1,164.15","0.52%"
"Feb 20, 2017","1,166.79","1,164.18","1,167.81","1,161.75","0.25%"
"Feb 17, 2017","1,163.84","1,160.91","1,168.05","1,159.07","0.23%"
"Feb 16, 2017","1,161.15","1,163.04","1,165.48","1,160.49","-0.17%"
"Feb 15, 2017","1,163.10","1,161.64","1,164.52","1,156.37","0.13%"
"Feb 14, 2017","1,161.61","1,156.31","1,164.38","1,154.58","0.44%"
"Feb 13, 2017","1,156.56","1,160.69","1,162.33","1,150.77","-0.28%"
"Feb 10, 2017","1,159.78","1,153.73","1,161.87","1,146.38","0.54%"
"Feb 09, 2017","1,153.57","1,160.87","1,164.00","1,152.32","-0.66%"
"Feb 08, 2017","1,161.20","1,154.49","1,164.44","1,152.92","0.59%"
